Mixture	Macrophages	Epithelial_1	T cell	Mesenchymal	Endothelial	Epithelial_2	CAFs	Dendritic	Epithelial_3	P-value	Correlation	RMSE
TCGA-20-1687-01A	0.0659625705983657	0.617240426573476	0	0.03432631944476	0.0240058371847374	0.0080389170545467	0.085119649412703	0	0.165306279731411	0	0.518433651672113	0.86125372605073
TCGA-25-1323-01A	0.0243722551730742	0.553614725309964	0	0.23179108883467	0.00162515142841442	0	0.0464903442620586	0	0.142106434991819	0	0.488977160682411	0.872970448501583
TCGA-24-2281-01A	0.143562406301169	0.609003681573696	0	0.0325942239426821	0.0055717144361091	0.00255680535162442	0.014587569929982	0.0141029488665934	0.178020649598145	0	0.60221839080712	0.819295974259336
TCGA-13-1477-01A	0.0301510329685932	0.761567627560885	0	0.130426177892521	0.0146552838369682	0.00709960215699835	0.0414230364928523	0	0.0146772390911817	0	0.386358897207381	0.923594836154472
TCGA-31-1959-01A	0.117140960369574	0.366612609538199	0	0.152509451209167	0.00765154932399779	0	0.226584239060839	0	0.129501190498223	0	0.700130808527335	0.718948218933102
TCGA-13-0804-01A	0.0939777321068172	0.786523875571364	0	0.00877731675880887	0.0147137012250679	0.000573545236976654	0.00278682421137879	0.000430128580393261	0.0922168763091928	0	0.49410961916349	0.873539553798325
TCGA-09-2044-01B	0.128336567988511	0.473227370681386	0	0.0376859805309619	0.02315054300511	0	0	0.0166385285481288	0.320961009245902	0	0.540378985676345	0.849788494969193
TCGA-25-2398-01A	0.0585758311461436	0.452625694471843	0	0.117363775080287	0	0	0.339100449950413	0	0.0323342493513131	0	0.681838601610623	0.733534913982257
TCGA-61-2110-01A	0.0244470184187235	0.583440001166205	0	0.124054883557817	0.00434299884619896	0	0	0	0.263715098011055	0	0.471567666213384	0.884613942177369
TCGA-13-0916-01A	0.0227283113721373	0.694125315815885	0	0.0500947672698914	0.0482522539009007	0.0140607781045171	0	0.0499323381020241	0.120806235434645	0	0.486128524849756	0.878230989551959
TCGA-13-0714-01A	0.0510687478397197	0.627082094612664	0	0.040209748408033	0.0144318877629425	0	0.126913628811024	0	0.140293892565617	0	0.585356563146168	0.823129345449157
TCGA-36-1576-01A	0.122281498653049	0.398653934519645	0	0.0967446891934756	0.00567025219551225	0	0.26599225789116	0	0.110657367547158	0	0.658839638733773	0.752887629556381
TCGA-24-1846-01A	0.129423682228537	0.549368352779904	0	0.0320083487395429	0	0	0.0885622708143707	0.0106817179579913	0.189955627479654	0	0.540117075656061	0.848719660868442
TCGA-24-2280-01A	0.0562402555955119	0.49151570042679	0	0.134867165765969	0.0285912081147857	0	0.265788127918973	0.00119850626988809	0.021799035908082	0	0.743541169234004	0.674837727372394
TCGA-09-1667-01C	0.106588590510714	0.61528511615162	0	0.0662972830836834	0.00522973897507678	0	0.0372251037982644	0	0.169374167480642	0	0.463315225249659	0.888080657213723
TCGA-25-1326-01A	0.119950430558868	0.492707421819965	0	0.076625787997948	0	0	0.166737009993889	0	0.14397934962933	0	0.575939165438701	0.821110077167197
TCGA-29-1711-01A	0.0922304929303072	0.646819654703265	0	0.0326569830713127	0.0118814664731906	0	0.0614993247623477	0	0.154912078059577	0	0.483845383606798	0.878343142109929
TCGA-09-1673-01A	0.0911262320933839	0.703022026944772	0	0.0770063518665138	0.0706225184979315	0	0	0.0568066008116026	0.00141626978579592	0	0.449242220215671	0.894496408423158
TCGA-24-0979-01A	0.026192192296766	0.715513261232071	0	0.0677311358245311	0.0119350222239579	0.0707415070533761	0	0.00117000270523553	0.106716878664062	0	0.563898324005863	0.842285192294991
TCGA-24-2267-01A	0.142979185848794	0.652435474121393	0	0.0509401005589936	0.0237690750104593	0	0.00792337050302332	0.023670600236255	0.0982821937210821	0	0.626557624377717	0.807080168519511
TCGA-13-0765-01A	0.05778499963886	0.806795387820655	0	0	0	0	0.000490302534233374	0	0.134929310006252	0	0.553946128242096	0.84388857860108
TCGA-24-0966-01A	0.0490700223473217	0.742446006514542	0	0.0289648426590605	0.0127042569746849	0.103585629369917	0	0	0.0632292421344737	0	0.471777389810491	0.884538605043789
TCGA-23-1022-01A	0.0128508889855112	0.674218012470008	0	0.0887452939649977	0.00862259134689889	0	0	0	0.215563213232585	0	0.435987102234143	0.900980061373843
TCGA-29-1783-01A	0.0793198818356019	0.628634895275438	0	0.126985631473203	0.0137066049591131	0.0214841798401851	0.0457041190406883	0.011311311290481	0.0728533762852887	0	0.49918173536251	0.870323784200022
