LncRNA name	MiRNA name	Gene name	Pubmed ID	Experimental method
HULC	miR-372	PRKACB	20423907	Western blot;qRT-PCR;luciferase reporter assays;Chromatin immunoprecipitation assays
BACE1-AS	miR-485-5p	BACE1	20507594	qRT-PCR;luciferase reporter assays
HOTAIR	miR-331-3p	HER	24775712	Western blot;luciferase reporter assays
MRAK088388	miR-29b-3p	N4bp2	24702795	qRT-PCR
MRAK081523	let-7i	N4bp2	24702795	qRT-PCR
lincRNA-ROR	miR-145	Oct4	23541921	Luciferase reporter assay
lincRNA-ROR	miR-145	Nanog	23541921	Luciferase reporter assay
lincRNA-ROR	miR-145	Sox2	23541921	Luciferase reporter assay
lincRNA-ROR	miR-145	NA	24589415	qRT-PCR
PTCSC3	miR-574-5p	PTCSC3	23599737	qRT-PCR
linc-MD1	miR-133	MAML1	22000014	Northern blot;Western blot;qRT-PCR;luciferase reporter assays
linc-MD1	miR-135	MAML1	22000014	Northern blot;Western blot;qRT-PCR;luciferase reporter assays
linc-MD1	miR-133	MEF2C	22000014	Northern blot;Western blot;qRT-PCR;luciferase reporter assays
linc-MD1	miR-135	MEF2C	22000014	Northern blot;Western blot;qRT-PCR;luciferase reporter assays
AK020764	miR-142-3p	NA	19494298	qRT-PCR
AK020764	miR-142-5p	NA	19494298	qRT-PCR
H19	let-7a	Dicer	24055342	Western blot;qRT-PCR;luciferase reporter assays
H19	let-7a	Hmga2	24055342	Western blot;qRT-PCR;luciferase reporter assays
H19	let-7a	Igf1	24055342	Western blot;qRT-PCR;luciferase reporter assays
H19	let-7a	Igf2	24055342	Western blot;qRT-PCR;luciferase reporter assays
H19	let-7b	Dicer	24055342	Western blot;qRT-PCR;luciferase reporter assays
H19	let-7b	Hmga2	24055342	Western blot;qRT-PCR;luciferase reporter assays
H19	let-7b	Igf1	24055342	Western blot;qRT-PCR;luciferase reporter assays
H19	let-7b	Igf2	24055342	Western blot;qRT-PCR;luciferase reporter assays
H19	let-7a	Hmga2	24920070	siRNA transfection;qRT-PCR;Western blot
H19	let-7b	Hmga2	24920070	siRNA transfection;qRT-PCR;Western blot
H19	let-7c	Hmga2	24920070	siRNA transfection;qRT-PCR;Western blot
H19	let-7e	Hmga2	24920070	siRNA transfection;qRT-PCR;Western blot
H19	let-7i	Hmga2	24920070	siRNA transfection;qRT-PCR;Western blot
GAS5	miR-21	NA	23933812	Western blot;qRT-PCR;RNA immunoprecipitation;luciferase reporter assays
CARL	miR-539	PHB2	24710105	Western blot;qRT-PCR;luciferase reporter assays
CHRF	miR-489	Myd88	24557880	Western blot;qRT-PCR;luciferase reporter assays
lincRNA-p21	let-7a	JUNB	22841487	Western blot;qRT-PCR;luciferase reporter assays
lincRNA-p21	let-7a	CTNNB1	22841487	Western blot;qRT-PCR;luciferase reporter assays
lincRNA-p21	let-7b	JUNB	22841487	Western blot;qRT-PCR;luciferase reporter assays
lincRNA-p21	let-7b	CTNNB1	22841487	Western blot;qRT-PCR;luciferase reporter assays
lincRNA-p21	let-7c	JUNB	22841487	Western blot;qRT-PCR;luciferase reporter assays
lincRNA-p21	let-7c	CTNNB1	22841487	Western blot;qRT-PCR;luciferase reporter assays
lincRNA-p21	let-7e	JUNB	22841487	Western blot;qRT-PCR;luciferase reporter assays
lincRNA-p21	let-7e	CTNNB1	22841487	Western blot;qRT-PCR;luciferase reporter assays
MALAT1	miR-9	NA	23985560	Western blot;qRT-PCR;luciferase reporter assays;RNA immunoprecipitation
HOTAIR	miR-130a	c-Myc	24953832	Western blot;qRT-PCR;luciferase reporter assays
lincRNA-ROR	miR-205	ZEB1	24922071	Western blot;qRT-PCR;luciferase reporter assays
lincRNA-ROR	miR-205	ZEB2	24922071	Western blot;qRT-PCR;luciferase reporter assays
HOST2	let-7b	HMGA2	25292198	qRT-PCR
HOST2	let-7b	C-MYC	25292198	qRT-PCR
HOST2	let-7b	DICER	25292198	qRT-PCR
HOST2	let-7b	IMP3	25292198	qRT-PCR
Linc00974	miR-642	NA	25476897	Western blot;qRT-PCR;luciferase reporter assays;Immunohistochemical assay
CASC2	miR-21	NA	25446261	qRT-PCR
H19	miR-141	ZEB1	26160158	Luciferase reporter assay;qRT-PCR
H19	miR-138	ZEB1	26068968	RNA immunoprecipitation; luciferase reporter assays
H19	miR-138	ZEB2	26068968	RNA immunoprecipitation; luciferase reporter assays
H19	miR-138	Vimentin	26068968	RNA immunoprecipitation; luciferase reporter assays
H19	miR-200a	ZEB1	26068968	RNA immunoprecipitation; luciferase reporter assays
H19	miR-200a	ZEB2	26068968	RNA immunoprecipitation; luciferase reporter assays
H19	miR-200a	Vimentin	26068968	RNA immunoprecipitation; luciferase reporter assays
HOTAIR	miR-218	BMI1	26024833	RNA immunoprecipitation; luciferase reporter assays
MIAT	miR-150-5p	VEGF	25587098	luciferase reporter assays, RNA immunoprecipitation
CCAT2	miR-424	NA	28550684	luciferase reporter assays;qRT-PCR
MEG3	miR-9	FOXO1	28539329	luciferase reporter assays;qRT-PCR;Northern blot assay;Western blot assay
MEG3	miR-9	E-cadherin	28539329	luciferase reporter assays;qRT-PCR;Northern blot assay;Western blot assay
PVT1	miR-203a	E2F3	28510638	luciferase reporter assays;qRT-PCR;Western blot assay
XLOC_008466	miR-874	MMP2	28501870	luciferase reporter assays;qRT-PCR;
XLOC_008466	miR-874	XIAP	28501870	luciferase reporter assays;qRT-PCR;
MALAT1	miR-146b-5p	TRAF6	28404923	luciferase reporter assays;qRT-PCR;Northern blot assay;Northern blot assay
LINC00668	miR-297	VEGFA	28564590	luciferase reporter assays;qRT-PCR;Western blot assay
CASC2	miR-21	PTEN	28495512	luciferase reporter assays;qRT-PCR;Western blot assay
HOTAIR 	miR-217	HIF1A	28492542	luciferase reporter assays;qRT-PCR;Western blot assay
HOTAIR 	miR-217	AXL	28492542	luciferase reporter assays;qRT-PCR;Western blot assay
CCR492	let-7	c-Myc	27344374	luciferase reporter assays;qRT-PCR;Western blot assay
n340790	miR-1254	NA	28559970	luciferase reporter assays;qRT-PCR;Western blot assay
HOXA11-AS	miR-124-3p	ROCK1	28558357	luciferase reporter assays;qRT-PCR;Western blot assay
ANRIL	miR-186	NA	28550682	luciferase reporter assays;qRT-PCR
UCA1	miR-122	NA	28548636	luciferase reporter assays;qRT-PCR
NEAT1	miR-34a	c-Met	28545036	qRT-PCR;Western blot assay
UCA1	miR-16	MDR1	27854515	qRT-PCR;Western blot assay
UCA1	miR-16	GLS2	26373319	luciferase reporter assays;qRT-PCR;Western blot assay
HOXA-AS2	miR-520c-3p	TGFBR2	28545023	luciferase reporter assays;qRT-PCR;Western blot assay
HOXA-AS2	miR-520c-3p	TGFBR2	28545023	luciferase reporter assays;qRT-PCR;Western blot assay
H19	miR-152	DNMT1	28544374	luciferase reporter assays;qRT-PCR;Western blot assay
MALAT1	miR-143-3p	ZEB1	28543721	luciferase reporter assays;qRT-PCR
AF113014	miR-20a	EGR2	28542387	luciferase reporter assays;qRT-PCR
N-BLR	miR-141-3p	ZEB1	28535802	luciferase reporter assays;qRT-PCR
N-BLR	miR-200c-3p	ZEB1	28535802	luciferase reporter assays;qRT-PCR
MALAT1	miR-145	TGFB1	28535533	luciferase reporter assays;qRT-PCR;Western blot assay
MALAT1	miR-145	TGFBR2	28535533	luciferase reporter assays;qRT-PCR;Western blot assay
MALAT1	miR-145	SMAD3	28535533	luciferase reporter assays;qRT-PCR;Western blot assay
HOTTIP	miR-30b	HOXA13	28534516	luciferase reporter assays;qRT-PCR;Western blot assay
n336694	miR-106b	NA	28528185	qRT-PCR;Western blot assay
LAMC1	miR-124	CD151	28524360	qRT-PCR;Western blot assay
MALAT1	miR-204	SMAD4	28522163	luciferase reporter assays;qRT-PCR; RNA pull-down assay
PVT1	miR-488-3p	NA	28520497	luciferase reporter assays;qRT-PCR;MS2 RNA immunoprecipitation
GAS5	miR-221	ARHI 	28519068	luciferase reporter assays;qRT-PCR;Western blot
lincRNA-ROR	miR-145	Oct4	28516515	luciferase reporter assays;qRT-PCR;Western blot
lincRNA-ROR	miR-145	Sox2	28516515	luciferase reporter assays;qRT-PCR;Western blot
PTCSC3	miR-574-5p	SCAI	28513866	luciferase reporter assays;qRT-PCR;Western blot
TUG1	miR-142	ZEB2	28503069	luciferase reporter assays;qRT-PCR;Western blot
AC023115.3	miR-26a	GSK3B	28499919	qRT-PCR;Western blot
UCC	miR-143	KRAS	28492554	luciferase reporter assays;qRT-PCR
UCC	miR-143	IGF1R	28492554	luciferase reporter assays;qRT-PCR
UCC	miR-143	BCL2	28492554	luciferase reporter assays;qRT-PCR
UCC	miR-143	HK2	28492554	luciferase reporter assays;qRT-PCR
CRNDE	miR-136	E2F1	28115855	luciferase reporter assays;Western blot assay
TUSC7	miR-211-3p	NA	28214867	luciferase reporter assays;qRT-PCR;Western blot assay
XIST	miR-181a	PTEN	28388883	luciferase reporter assays;qRT-PCR;Western blot assay
PVT1	miR-186	HIF1A	28122299	luciferase reporter assays;qRT-PCR;Western blot assay
PVT1	miR-186	PCNA	28122299	luciferase reporter assays;qRT-PCR;Western blot assay
FBXL19-AS1	miR-203	NA	28479250	luciferase reporter assays;qRT-PCR
CCAT1	miR-181b	FGFR3	28475287	luciferase reporter assays;qRT-PCR;Western blot assay
CCAT1	miR-181b	PDGFRA	28475287	luciferase reporter assays;qRT-PCR;Western blot assay
SNHG1	miR-338-3p	CST3	28423738	luciferase reporter assays;qRT-PCR
linc-NeD125	miR-19a-3p	CDK6	28415684	luciferase reporter assays;qRT-PCR
linc-NeD125	miR-19a-3p	MYCN	28415684	luciferase reporter assays;qRT-PCR
linc-NeD125	miR-19a-3p	SNCAIP	28415684	luciferase reporter assays;qRT-PCR
linc-NeD125	miR-19a-3p	KDM6A	28415684	luciferase reporter assays;qRT-PCR
linc-NeD125	miR-19b-3p	CDK6	28415684	luciferase reporter assays;qRT-PCR
linc-NeD125	miR-19b-3p	MYCN	28415684	luciferase reporter assays;qRT-PCR
linc-NeD125	miR-19b-3p	SNCAIP	28415684	luciferase reporter assays;qRT-PCR
linc-NeD125	miR-19b-3p	KDM6A	28415684	luciferase reporter assays;qRT-PCR
linc-NeD125	miR-106a-5p	CDK6	28415684	luciferase reporter assays;qRT-PCR
linc-NeD125	miR-106a-5p	MYCN	28415684	luciferase reporter assays;qRT-PCR
linc-NeD125	miR-106a-5p	SNCAIP	28415684	luciferase reporter assays;qRT-PCR
linc-NeD125	miR-106a-5p	KDM6A	28415684	luciferase reporter assays;qRT-PCR
CCAT1	miR-33a	NA	28409554	luciferase reporter assays;qRT-PCR
SNHG1	miR-199a-3p	CDK7	28400279	luciferase reporter assays;qRT-PCR;Western blot assay
TP73-AS1	miR-142	HMGB1	28379612	luciferase reporter assays;qRT-PCR;Western blot assay
TP73-AS1	miR-142	RAGE	28379612	luciferase reporter assays;qRT-PCR;Western blot assay
MALAT1	miR-142-3p	HMGB1	28346809	luciferase reporter assays;qRT-PCR
MALAT1	miR-129-5p	HMGB1	28346809	luciferase reporter assays;qRT-PCR
UCA1	miR-204	ATF2	28337266	luciferase reporter assays;qRT-PCR;Western blot assay
LOC100129148	miR-539-5p	KLF12	28328537	luciferase reporter assays;qRT-PCR;Western blot assay
H19	miR-181d	b-catenin	28327666	luciferase reporter assays;qRT-PCR
BX649188.1	kshv-miR-K12-7-3p	NA	28323040	luciferase reporter assays;qRT-PCR
MEG3	miR-133a-3p	SLC39A1	28320084	qRT-PCR
HOTAIR	miR-19	PTEN	28316060	qRT-PCR
TUG1	miR-186	CPEB2	28302487	luciferase reporter assays;qRT-PCR;Western blot assay
LncRNA-ATB	miR-200a	b-catenin	28302418	luciferase reporter assays;qRT-PCR
lncRNA-MODR	miR-454	RUNX2	28301382	qRT-PCR;Western blot
XIST	miR-133a	EGFR	28295543	luciferase reporter assays;qRT-PCR
Lnc-mg	miR-125b	IGF2	28281528	luciferase reporter assays;qRT-PCR;Western blot assay
HOTAIRM1	miR-3960	HOXA1	28280365	qRT-PCR
CRNDE	miR-451	NA	28276319	luciferase reporter assays;qRT-PCR;Western blot assay
MEG3	miR-19a	PTEN	28276316	luciferase reporter assays;qRT-PCR;Western blot assay
PVT1	miR-424	NA	28276314	luciferase reporter assays;qRT-PCR
PVT1	miR-152	CD151	28258379	luciferase reporter assays;qRT-PCR;Western blot assay
PVT1	miR-152	FGF2	28258379	luciferase reporter assays;qRT-PCR;Western blot assay
lincRNA-ROR	miR-145	ARF6 	25253741	luciferase reporter assays;qRT-PCR;Western blot assay
CASC2	miR-101	CPEB1	28252647	luciferase reporter assays;qRT-PCR;Western blot assay
SNHG16	miR-98	E2F5	28232182	luciferase reporter assays;qRT-PCR;Western blot assay;RNA immunoprecipitation
RPPH1	miR-330-5p	CDC42	28223918	luciferase reporter assays;qRT-PCR;Western blot assay
RPPH1	miR-326-3p	CDC42	28223918	luciferase reporter assays;qRT-PCR;Western blot assay
TUG1	miR-335-5p	ROCK1	28205334	luciferase reporter assays;qRT-PCR;Western blot assay
STX12	miR-148a	SMAD5	28202235	qRT-PCR;Western blot assay
Lnc-MKI67IP-3	let-7e	IKBB	28195197	qRT-PCR;Western blot assay
PVT1	miR-200b	NA	28187158	short and long RNA-seq
PVT1	miR-200c	NA	28187158	short and long RNA-seq
PVT1	miR-429	NA	28187158	short and long RNA-seq
TCONS_147426	miR-200b	NA	28187158	short and long RNA-seq
TCONS_147426	miR-200c	NA	28187158	short and long RNA-seq
TCONS_147426	miR-429	NA	28187158	short and long RNA-seq
MALAT1	miR-203	TYMS	28187000	luciferase reporter assays;qRT-PCR;Western blot assay
NEAT1	miR-181d-5p	SOX5	28185956	luciferase reporter assays;qRT-PCR;Western blot assay
ENST00000535511	miR-133b	UBD	28177879	qRT-PCR
LINC00858	miR-422a	KLK4	28177876	luciferase reporter assays;qRT-PCR;Western blot assay
MEG3	miR-214	NA	28175963	qRT-PCR
HULC	miR-6825-5p	USP22	28166203	luciferase reporter assays;qRT-PCR;Western blot assay
HULC	miR-6845-5p	USP22	28166203	luciferase reporter assays;qRT-PCR;Western blot assay
HULC	miR-6886-3p	USP22	28166203	luciferase reporter assays;qRT-PCR;Western blot assay
HULC	miR-6825-5p	Sirt1	28166203	luciferase reporter assays;qRT-PCR;Western blot assay
HULC	miR-6845-5p	Sirt1	28166203	luciferase reporter assays;qRT-PCR;Western blot assay
HULC	miR-6886-3p	Sirt1	28166203	luciferase reporter assays;qRT-PCR;Western blot assay
PlncRNA1	miR-34c	MAZ	28153728	qRT-PCR;Western blot assay
PlncRNA1	miR-34c	ZO-1	28153728	qRT-PCR;Western blot assay
PlncRNA1	miR-34c	OCEL1	28153728	qRT-PCR;Western blot assay
MALAT1	miR-101	NA	28150831	qRT-PCR
MALAT1	miR-217	NA	28150831	qRT-PCR
MALAT1	miR-202	Gli2	27887846	luciferase reporter assays;qRT-PCR;Western blot assay;RNA immunoprecipitation
H19	miR-200a	ZEB1	27008415	luciferase reporter assays;qRT-PCR
H19	miR-200a	ZEB2	27008415	luciferase reporter assays;qRT-PCR
H19	miR-200b	ZEB1	27008415	luciferase reporter assays;qRT-PCR
H19	miR-200b	ZEB2	27008415	luciferase reporter assays;qRT-PCR
H19	miR-200c	ZEB1	27008415	luciferase reporter assays;qRT-PCR
H19	miR-200c	ZEB2	27008415	luciferase reporter assays;qRT-PCR
UCA1	miR-182	iASPP	28137422	luciferase reporter assays
MHENCR	miR-425	IGF1	28123636	qRT-PCR;Western blot assay
MHENCR	miR-425	SPIN1	28123636	qRT-PCR;Western blot assay
MHENCR	miR-489	IGF1	28123636	qRT-PCR;Western blot assay
MHENCR	miR-489	SPIN1	28123636	qRT-PCR;Western blot assay
HOTAIR	miR-34a	Sox2	28122024	qRT-PCR
GAS5	miR-135b	NA	28117028	luciferase reporter assays;qRT-PCR
MTDH	miR-130b	PTEN	28107197	qRT-PCR;Western blot assay
MTDH	miR-130b	PPP2CA	28107197	qRT-PCR;Western blot assay
MTDH	miR-130b	SMAD7	28107197	qRT-PCR;Western blot assay
H19	let-7	LIN28	28102845	luciferase reporter assays
CRNDE	miR-181a-5p	TCF4	28086904	luciferase reporter assays;qRT-PCR;Western blot assay
CRNDE	miR-181a-5p	Wnt/b-catenin 	28086904	luciferase reporter assays;qRT-PCR;Western blot assay
LINC00152	miR-138	HIF1A	28077595	luciferase reporter assays;qRT-PCR;Western blot assay
ZEB1-AS1	miR-200a	ZEB1	28075045	luciferase reporter assays;qRT-PCR;Western blot assay;Northern blot assay
ZEB1-AS1	miR-200b	ZEB1	28075045	luciferase reporter assays;qRT-PCR;Western blot assay;Northern blot assay
ZEB1-AS1	miR-200c	ZEB1	28075045	luciferase reporter assays;qRT-PCR;Western blot assay;Northern blot assay
ZEB1-AS1	miR-141	ZEB1	28075045	luciferase reporter assays;qRT-PCR;Western blot assay;Northern blot assay
ZEB1-AS1	miR-429	ZEB1	28075045	luciferase reporter assays;qRT-PCR;Western blot assay;Northern blot assay
SNHG12	miR-199a-5p	MLK3	28073380	luciferase reporter assays;qRT-PCR;Western blot assay,ChIRP assay
SNHG12	miR-199b-5p	MLK3	28073380	luciferase reporter assays;qRT-PCR;Western blot assay,ChIRP assay
MALAT1	miR-218	EZH2	28069878	qRT-PCR;Western blot assay
XIST	miR-144	Titin	28059474	luciferase reporter assays
TUG1	miR-9	MTHFD2	28053623	luciferase reporter assays
SPRY4-IT1	miR-101-3p	EZH2	27998761	luciferase reporter assays;qRT-PCR;Western blot assay
TUG1	miR-145-5p	NA	27983921	luciferase reporter assays
H19	miR-675	NA	27981546	qRT-PCR
MALAT1	miR-183	ITGB1	27966454	qRT-PCR;Western blot assay
XIST 	miR-497	MACC1	27911852	luciferase reporter assays;qRT-PCR;Western blot assay
RMRP	miR-206	KRAS	27906963	qRT-PCR;Western blot assay
RMRP	miR-206	FMNL2	27906963	qRT-PCR;Western blot assay
RMRP	miR-206	SOX9	27906963	qRT-PCR;Western blot assay
MALAT1	miR-155	FBXW7	27904771	luciferase reporter assays;qRT-PCR;Western blot assay
HOTAIR	miR-1	NA	27895772	luciferase reporter assays;qRT-PCR
H19	miR-29b-3p	TGFB1	27895107	luciferase reporter assays;qRT-PCR;Western blot assay
MARCH5	miR-30a	SMAD2	27875077	qRT-PCR;Western blot assay
MARCH5	miR-30a	ATG5	27875077	qRT-PCR;Western blot assay
SNHG5	miR-32	KLF4	27871067	luciferase reporter assays;qRT-PCR;Western blot assay
AF147447	miR-34c	MUC2	27835575	luciferase reporter assays;qRT-PCR;Western blot assay
GAS5	miR-23a	MT2A	27827524	luciferase reporter assays;qRT-PCR;Western blot assay
HOTAIR	miR-1	CCND1	27816685	luciferase reporter assays;qRT-PCR;Western blot assay
HOTAIR	miR-1	CCND1	27816685	luciferase reporter assays;qRT-PCR;Western blot assay
EWSAT1	miR-326	CCND1	27816050	luciferase reporter assays;qRT-PCR;Western blot assay
EWSAT1	miR-330-5p	CCND1	27816050	luciferase reporter assays;qRT-PCR;Western blot assay
H19	let-7	StAR	27813675	luciferase reporter assays;qRT-PCR;Western blot assay
PVT1	miR-195	BCL2	27813492	luciferase reporter assays;qRT-PCR;Western blot assay;Northern blot assay
PVT1	miR-195	CCND1	27813492	luciferase reporter assays;qRT-PCR;Western blot assay;Northern blot assay
PVT1	miR-195	FASN	27813492	luciferase reporter assays;qRT-PCR;Western blot assay;Northern blot assay
GAS5	miR-2467-5p	NODAL	27811843	luciferase reporter assays;qRT-PCR;Western blot assay;Northern blot assay
GAS5	miR-3200-3p	NODAL	27811843	luciferase reporter assays;qRT-PCR;Western blot assay;Northern blot assay
GAS5	let-7a	NODAL	27811843	luciferase reporter assays;qRT-PCR;Western blot assay;Northern blot assay
GAS5	let-7e-5p	NODAL	27811843	luciferase reporter assays;qRT-PCR;Western blot assay;Northern blot assay
H19	let-7a	IL6	27809873	luciferase reporter assays;qRT-PCR;Western blot assay;Northern blot assay
H19	let-7b	IL6	27809873	luciferase reporter assays;qRT-PCR;Western blot assay;Northern blot assay
HULC	miR-372	IL6	27809873	luciferase reporter assays;qRT-PCR;Western blot assay;Northern blot assay
HULC	miR-373	IL6	27809873	luciferase reporter assays;qRT-PCR;Western blot assay;Northern blot assay
H19	let-7a	CXCR4	27809873	luciferase reporter assays;qRT-PCR;Western blot assay;Northern blot assay
H19	let-7b	CXCR4	27809873	luciferase reporter assays;qRT-PCR;Western blot assay;Northern blot assay
HULC	miR-372	CXCR4	27809873	luciferase reporter assays;qRT-PCR;Western blot assay;Northern blot assay
HULC	miR-373	CXCR4	27809873	luciferase reporter assays;qRT-PCR;Western blot assay;Northern blot assay
HOXA11-AS	miR-1297	E2F1	27651312	luciferase reporter assays;qRT-PCR;Western blot assay;Northern blot assay
SOX2OT	miR-375	NA	27800139	qRT-PCR
PVT1	miR-146a	NA	27794184	qRT-PCR
MALAT1	miR-200c	TGFB	27693631	MG-63 and U2OS
LINC00161	miR-645	IFIT2	27609068	luciferase reporter assays;qRT-PCR
Unigene56159	miR-140-5p	Slug	27597739	qRT-PCR;Western blot assay;Fluorescent reporter assays
RMRP	miR-206	CCND2	27192121	qRT-PCR
MALAT1	miR-206	ANXA2	27191262	luciferase reporter assays;qRT-PCR;Western blot assay
MALAT1	miR-206	KRAS	27191262	luciferase reporter assays;qRT-PCR;Western blot assay
PCA3	miR-1261	PRKD3	27743381	luciferase reporter assays;qRT-PCR;Western blot assay
HOTAIRM1	miR-20a	ULK1	27740626	luciferase reporter assays;qRT-PCR;Western blot assay
HOTAIRM1	miR-106b	E2F1	27740626	luciferase reporter assays;qRT-PCR;Western blot assay
HOTAIRM1	miR-125b	DRAM2	27740626	luciferase reporter assays;qRT-PCR;Western blot assay
H19	miR-342-3p	FOXM1	27716361	luciferase reporter assays;qRT-PCR;Western blot assay
MALAT1	miR-375	NA	27658300	luciferase reporter assays;qRT-PCR;Western blot assay
MIAT	miR-150	ANP	27649667	qRT-PCR
MIAT	miR-150	BNP	27649667	qRT-PCR
MIAT	miR-150	b-MHC	27649667	qRT-PCR
MEG3	miR-181b	ALOX15	27642276	luciferase reporter assays;qRT-PCR;Western blot assay
MEG3	miR-181b	ALOX12	27642276	luciferase reporter assays;qRT-PCR;Western blot assay
XIST	miR-101	EZH2	27620004	luciferase reporter assays;qRT-PCR;Western blot assay
lncRpa	miR-671	caspase8	27604105	luciferase reporter assays;qRT-PCR;Western blot assay
lncRpa	miR-671	p38	27604105	luciferase reporter assays;qRT-PCR;Western blot assay
lncMD	miR-125b	IGF2	27589905	RACE,luciferase reporter assays
HOTAIR	miR-214	PIK3R3	26826873	qRT-PCR;Western blot assay
MALAT1	miR-101b	Rac1	26697839	luciferase reporter assays;qRT-PCR
PVT1	miR-152	PTCH1	27588491	luciferase reporter assays;qRT-PCR;Western blot assay
RBM24	miR-143	MIR143HG	27565737	luciferase reporter assays;qRT-PCR;Western blot assay
MIR143HG	miR-143	RBM24	27565737	luciferase reporter assays;qRT-PCR;Western blot assay
MALAT1	miR-22	MMP14	27564100	luciferase reporter assays;qRT-PCR;Western blot assay
MALAT1	miR-22	Snail	27564100	luciferase reporter assays;qRT-PCR;Western blot assay
H19	miR-29a	VASH2	27543358	luciferase reporter assays;qRT-PCR;Western blot assay
SNHG6-003	miR-26a	TAK1	27530352	luciferase reporter assays;qRT-PCR;Western blot assay;tissue micorarray
linc-223	miR-125-5p	IRF4	27517498	luciferase reporter assays;qRT-PCR
lncRNA-POIR	miR-182	FoxO1	27512949	luciferase reporter assays;qRT-PCR;Western blot assay
Cdr1as	miR-7a	PARP	26998750	luciferase reporter assays;qRT-PCR;Western blot assay
Cdr1as	miR-7a	SP1	26998750	luciferase reporter assays;qRT-PCR;Western blot assay
RSU1P2	let-7a	IGF1R	27487126	EGFP reporter assay;qRT-PCR;Western blot assay
RSU1P2	let-7a	N-myc	27487126	EGFP reporter assay;qRT-PCR;Western blot assay
RSU1P2	let-7a	EphA4	27487126	EGFP reporter assay;qRT-PCR;Western blot assay
MALAT1	miR-122	IGF1R	27486823	qRT-PCR;Western blot assay
lncRNA-MSR	miR-152	TMSB4	27469625	luciferase reporter assays;qRT-PCR;Northern blot assay;Western blot assay
Lnc-Ang362	miR-221	NA	23697773	siRNA knockdown,RNA sequencing
Lnc-Ang362	miR-222	NA	23697773	siRNA knockdown,RNA sequencing
HOTARI	miR-148b-3p	PRC2	27446363	luciferase reporter assays;qRT-PCR
MALAT1	miR-363-3p	MCL1	27420766	luciferase reporter assays;qRT-PCR
SNHG16	NA	SCD	27396952	AGO-CLIP;qRT-PCR
LINC00324	miR-615-5p	BTG2	27373735	qRT-PCR;RNA immunoprecipitation
LINC00324	miR-615-5p	ADCYAP1R1	27373735	qRT-PCR;RNA immunoprecipitation
LINC00324	miR-4281	NA	27373735	qRT-PCR;RNA immunoprecipitation
LOC400043	miR-28-3p	NA	27373735	qRT-PCR;RNA immunoprecipitation
LOC400043	miR-96-5p	NA	27373735	qRT-PCR;RNA immunoprecipitation
CA9	miR-34a	JAGGED1	26553365	luciferase reporter assays;qRT-PCR
CA9	miR-34a	NOTCH3	26553365	luciferase reporter assays;qRT-PCR
H19	miR-29a-3p	DNMT3B	27363013	microarray;qRT-PCR
H19	miR-29a-3p	VEGFA	27363013	microarray;qRT-PCR
H19	miR-29a-3p	ITGB1	27363013	microarray;qRT-PCR
NEAT1	miR-377-3p	E2F3	27351135	luciferase reporter assays;qRT-PCR;Western blot assay
LncRNA-ATB	miR-200a	TGFB2	27267902	luciferase reporter assays;qRT-PCR;RNA immunoprecipitation
HULC	miR-200a-3p	ZEB1	27285757	qRT-PCR;RNA immunoprecipitation;Western blot assay
LncRNA-NRF	miR-873	RIPK1	27258785	luciferase reporter assays;qRT-PCR
LncRNA-NRF	miR-873	RIPK3	27258785	luciferase reporter assays;qRT-PCR
lncRNA-RNCR3	miR-185-5p	KLF2	27253412	qRT-PCR
LINC00673	miR-1231	PTPN11	27213290	luciferase reporter assays;qRT-PCR;Western blot assay
H19	miR-141	NA	27186302	luciferase reporter assays;qRT-PCR;Western blot assay
MEG3	miR-1297	PTEN	27158395	qRT-PCR;Western blot assay
NEAT1	miR-548ar-3p	FUS	27147820	qRT-PCR;RNA immunoprecipitation
HOTAIR	miR-141	SKA2	27121316	luciferase reporter assays;qRT-PCR;Western blot assay
H19	miR-17-5p	YES1	27093644	qRT-PCR;Western blot assay
H19	miR-630	EZH2	27040767	luciferase reporter assays;qRT-PCR;Western blot assay
HOTAIR	miR-1	MAPK1	26117268	qRT-PCR;Western blot assay
HOTAIR	miR-214-3p	MAPK1	26117268	qRT-PCR;Western blot assay
HOTAIR	miR-330-5p	MAPK1	26117268	qRT-PCR;Western blot assay
H19	miR-874	AQP3	27059301	luciferase reporter assays;qRT-PCR;Western blot assay
HNF1A-AS1	miR-30b-5p	BCL2	27084450	qRT-PCR;Western blot assay
HNF1A-AS1	miR-30b-5p	ATG5	27084450	qRT-PCR;Western blot assay
GAS5	miR-21	PTEN	27034004	qRT-PCR;Western blot assay
Ftx	miR-545	RIG-I	26992218	luciferase reporter assays;qRT-PCR;Western blot assay
FER1L4	miR-106a-5p	NA	26224446	qRT-PCR
MIAT	miR-150-5p	HLEC	26818536	microarray,Immunofluoresence assay
ESAT-6	miR-155	SOCS1	25721573	qRT-PCR;Western blot assay
MIR31HG	miR-193b	CCND1	26549028	luciferase reporter assays;qRT-PCR
MIR31HG	miR-193b	MCL1	26549028	luciferase reporter assays;qRT-PCR
MIR31HG	miR-193b	NT5E	26549028	luciferase reporter assays;qRT-PCR
MIR31HG	miR-193b	KRAS	26549028	luciferase reporter assays;qRT-PCR
MIR31HG	miR-193b	uPA	26549028	luciferase reporter assays;qRT-PCR
MIR31HG	miR-193b	ETS1	26549028	luciferase reporter assays;qRT-PCR
