LncRNA name	MiRNA name	Gene name	Pubmed ID	Experimental method
XIST	miR-181a	PTEN	28388883	qPCR,Western blot etc.
XIST	miR-132-3p	MAPK1	28730777	qPCR,Western blot etc.
XIST	let-7i	BAG-1	28961027	qPCR,Western blot,RNAi,Luciferase reporter assays etc
XIST	miR-320b	RAP2B	28409547	qPCR,Western blot,Luciferase Reporter Assays
XLOC_000983	miR-148b	NA	28043146	microarray,qPCR etc.
XLOC_005104	miR-148b	NA	28043146	microarray,qPCR etc.
XLOC_006324	miR-148b	NA	28043146	microarray,qPCR etc.
XLOC_008466	miR-874	MMP2	28501870	qPCR,Western blot,RIP,Luciferase reporter assay etc
ZFAS1	miR-150-5p	Sp1	28099946	qPCR,Cell transfection,Western blot,Luciferase reporter assay,MTT assay etc.
ZFAS1	miR-486	NA	29262629	qPCR,Luciferase reporter assays,RIP etc.
ZFAS1	miR-150	SP1	28938617	qPCR etc.
ZFAS1	miR-150	KLF2	28938617	qPCR etc.
ZFAS1	miR-150	NKD2	28938617	qPCR etc.
ZFAS1	miR-200b	BMI1	28744396	qPCR,Western blot,RIP etc.
ZFAS1	miR-200b	BMI1	28744396	qPCR,Western blot,RIP etc.
ZFAS1	miR-200c	ZEB2	28744396	qPCR,Western blot,RIP etc.
ZFAS1	miR-200c	ZEB2	28744396	qPCR,Western blot,RIP etc.
ZFAS1	miR-150	NA	28672980	qPCR etc.
AC130710	miR-129-5p	NA	24969565	qPCR etc.
CASC2	miR-21	NA	27222255	qPCR, Cell transfection, Dual-luciferase reporter assay, Cell proliferation assay etc.
CASC2	miR-21	NA	25446261	qPCR, Luciferase reporter assay etc.
CCAT1	let-7	Myc	27830017	qPCR, Western blot
CRNDE	miR-384	NF-kB	27822419	qPCR, RNAi, Western blot, Dual-luciferase reporter assay etc.
CRNDE	miR-384	p-AKT	27822419	qPCR, RNAi, Western blot, Dual-luciferase reporter assay etc.
CTBP	miR-21-5p	LAMP2	27113935	qPCR etc.
CTBP	miR-16-2	LAMP2	27113935	qPCR etc.
DLEU2	miR-16-1	CCND1	20060366	qPCR, Northern blot etc.
DLEU2	miR-16-1	CCND2	20060366	qPCR, Northern blot etc.
DLEU2	miR-16-1	CCND3	20060366	qPCR, Northern blot etc.
DLEU2	miR-16-1	CCNE1	20060366	qPCR, Northern blot etc.
DLEU2	miR-16-1	CDK4	20060366	qPCR, Northern blot etc.
DLEU2	miR-16-1	CDK6	20060366	qPCR, Northern blot etc.
DLEU2	miR-16-1	CHK1	20060366	qPCR, Northern blot etc.
DLEU2	miR-16-1	MCM5	20060366	qPCR, Northern blot etc.
DLEU2	miR-15a	CCND1	20060366	qPCR, Northern blot etc.
DLEU2	miR-15a	CCND2	20060366	qPCR, Northern blot etc.
DLEU2	miR-15a	CCND3	20060366	qPCR, Northern blot etc.
DLEU2	miR-15a	CCNE1	20060366	qPCR, Northern blot etc.
DLEU2	miR-15a	CDK4	20060366	qPCR, Northern blot etc.
DLEU2	miR-15a	CDK6	20060366	qPCR, Northern blot etc.
